wojewodztwo;liczba_przypadkow;liczba_na_10_tys_mieszkancow;zgony;zgony_w_wyniku_covid_bez_chorob_wspolistniejacych;zgony_w_wyniku_covid_i_chorob_wspolistniejacych;liczba_zlecen_poz;liczba_ozdrowiencow;liczba_osob_objetych_kwarantanna;liczba_wykonanych_testow;liczba_testow_z_wynikiem_pozytywnym;liczba_testow_z_wynikiem_negatywnym;liczba_pozostalych_testow;teryt
Ca³y kraj;6789;1.77;389;97;292;11232;3104;176833;47406;7536;39036;834;t00
dolnoœl¹skie;343;1.18;30;12;18;704;188;12292;3845;404;3381;60;t02
kujawsko-pomorskie;634;3.06;45;7;38;1022;264;12056;3131;701;2387;43;t04
lubelskie;358;1.70;22;2;20;478;122;7609;2227;383;1799;45;t06
lubuskie;174;1.72;9;9;0;297;75;4860;1239;183;1044;12;t08
³ódzkie;392;1.60;32;8;24;687;134;11299;3368;435;2864;69;t10
ma³opolskie;359;1.05;32;22;10;501;112;8740;2834;386;2411;37;t12
mazowieckie;934;1.72;50;6;44;1969;515;36234;6798;1085;5534;179;t14
opolskie;105;1.07;1;0;1;221;77;4013;865;114;741;10;t16
podkarpackie;182;0.86;10;3;7;295;79;5287;1972;219;1735;18;t18
podlaskie;317;2.69;16;0;16;332;101;5348;1414;342;1055;17;t20
pomorskie;636;2.71;31;4;27;924;425;15207;3461;679;2697;85;t22
œl¹skie;623;1.38;34;2;32;1051;208;13768;4634;676;3878;80;t24
œwiêtokrzyskie;97;0.79;4;0;4;172;84;2723;1397;118;1257;22;t26
warmiñsko-mazurskie;435;3.06;21;2;19;654;129;8759;1825;454;1352;19;t28
wielkopolskie;656;1.87;38;19;19;1157;225;17915;3718;711;2945;62;t30
zachodniopomorskie;401;2.37;14;1;13;758;317;10706;2257;477;1728;52;t32
