country,nuts_3,cases,cases/100k pop.,percent,datetime
SE,Gotland,5,8.0,0.0,2020-03-22T14:00:00
SE,Kalmar,11,4.0,1.0,2020-03-22T14:00:00
SE,Blekinge,12,8.0,1.0,2020-03-22T14:00:00
SE,Västernorrland,15,6.0,1.0,2020-03-22T14:00:00
SE,Dalarna,16,6.0,1.0,2020-03-22T14:00:00
SE,Norrbotten,16,6.0,1.0,2020-03-22T14:00:00
SE,Kronoberg,18,9.0,1.0,2020-03-22T14:00:00
SE,Västmanland,21,8.0,1.0,2020-03-22T14:00:00
SE,Gävleborg,24,8.0,1.0,2020-03-22T14:00:00
SE,Västerbotten,29,11.0,2.0,2020-03-22T14:00:00
SE,Värmland,39,14.0,2.0,2020-03-22T14:00:00
SE,Jämtland Härjedalen,40,31.0,2.0,2020-03-22T14:00:00
SE,Örebro,42,14.0,2.0,2020-03-22T14:00:00
SE,Södermanland,53,18.0,3.0,2020-03-22T14:00:00
SE,Jönköping,55,15.0,3.0,2020-03-22T14:00:00
SE,Halland,58,17.0,3.0,2020-03-22T14:00:00
SE,Uppsala,77,20.0,4.0,2020-03-22T14:00:00
SE,Östergötland,137,29.0,7.0,2020-03-22T14:00:00
SE,Skåne,228,17.0,12.0,2020-03-22T14:00:00
SE,Västra Götaland,250,14.0,13.0,2020-03-22T14:00:00
SE,Stockholm,760,32.0,40.0,2020-03-22T14:00:00
